Code,Name,Color,ImageUrl
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-matte?variant=593612471288803333"";""11102"")",PLA Matte,Matte Ash Gray,https://store.bblcdn.eu/s8/default/7cab8bed5a5c4cd3b8fd434274b82093/Matte-Ash-Grey.png
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-matte?variant=593612471288803355"";""11104"")",PLA Matte,Matte Nardo Gray,https://store.bblcdn.eu/s8/default/e5bc5b447e304021a85fc07ff9016999/1_ea5b7083-7377-4995-bef2-6c066be034b2.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-matte?variant=593612471288803347"";""11101"")",PLA Matte,Matte Charcoal,https://store.bblcdn.eu/s8/default/8794ff9de5904712a56d3b37f481d34f/PLA-Matte_Charcoal.png
"=HYPERLINK(""https://eu.store.bambulab.com/products/petg-hf?variant=593615039821852675"";""33200"")",PETG HF,Red,https://store.bblcdn.eu/s8/default/588e1afe37284baaa4ee09fbff15a66d/5_87e53b22-3a47-4e93-adce-7f40106815c0.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/petg-hf?variant=593615039821852676"";""33600"")",PETG HF,Blue,https://store.bblcdn.eu/s8/default/7637c3934e3f40948b30588d7a4059a3/PETG_HF_5.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/petg-hf?variant=593615039821852677"";""33102"")",PETG HF,Black,https://store.bblcdn.eu/s8/default/d64929ed7cb941f28881cb09d8884251/PETG_HF_6.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/petg-hf?variant=593615039821852678"";""33100"")",PETG HF,White,https://store.bblcdn.eu/s8/default/448f49cb7bc14916b7c4d6e5d5909176/PETG_HF_7.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/petg-hf?variant=593615039821852679"";""33101"")",PETG HF,Gray,https://store.bblcdn.eu/s8/default/14b742220dee4932889059023e3a429d/PETG_HF_1.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/petg-hf?variant=593615039821852680"";""33400"")",PETG HF,Yellow,https://store.bblcdn.eu/s8/default/8aa958fffbe34dc79541a8133818a26f/PETG_HF_2.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/petg-hf?variant=593615039821852681"";""33300"")",PETG HF,Orange,https://store.bblcdn.eu/s8/default/073a09348a6a4074b50c43a97e0bfb9f/PETG_HF_4.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/petg-hf?variant=593615039821852682"";""33500"")",PETG HF,Green,https://store.bblcdn.eu/s8/default/12c71260748340ae9ed3f3128cd425b1/PETG_HF_3.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/petg-hf?variant=593615039821852683"";""33502"")",PETG HF,Forest Green,https://store.bblcdn.eu/s8/default/6d1ea8824a0046a98e7ab3f74b6e4934/PETGHFNEWCOLOR_6.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/petg-hf?variant=593615039821852684"";""33801"")",PETG HF,Peanut Brown,https://store.bblcdn.eu/s8/default/cd789e854ab5484ba62127822b54e3b1/PETGHFNEWCOLOR_1.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/petg-hf?variant=593615039821852685"";""33103"")",PETG HF,Dark Gray,https://store.bblcdn.eu/s8/default/b87a5da87c90454089767dad2f0ab73c/PETGHFNEWCOLOR_3.jpg
